product_group,top_of_page_low,top_of_page_high,competition,daily_budget,cvr,aov,target_roas,target_cpa,target_cpc,comp_factor,prelim_cpc,suggested_cpc,clicks_per_day,expected_conversions,expected_roas,notes
Omega-3 Fish Oil,0.24,0.85,Low,95.00,0.02,45.00,3.00,15.00,0.30,0.85,0.26,0.26,372.55,7.45,3.53,Increase budget
Hydration Tablets,0.20,0.70,Low,90.00,0.02,45.00,3.00,15.00,0.30,0.85,0.26,0.26,352.94,7.06,3.53,Increase budget
Beta-Alanine 200g,0.24,0.80,Low,90.00,0.02,45.00,3.00,15.00,0.30,0.85,0.26,0.26,352.94,7.06,3.53,Increase budget
Multivitamin Sports,0.23,0.80,Low,90.00,0.02,45.00,3.00,15.00,0.30,0.85,0.26,0.26,352.94,7.06,3.53,Increase budget
Electrolyte Gummies,0.22,0.75,Low,85.00,0.02,45.00,3.00,15.00,0.30,0.85,0.26,0.26,333.33,6.67,3.53,Increase budget
Protein Bars 12-pack,0.30,1.00,Medium,130.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,433.33,8.67,3.00,Increase budget
EAA Powder,0.30,0.95,Medium,120.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,400.00,8.00,3.00,Increase budget
Meal Replacement Shake,0.30,0.90,Low,120.00,0.02,45.00,3.00,15.00,0.30,0.85,0.26,0.30,400.00,8.00,3.00,Increase budget
Post-Workout Recovery Drink,0.30,0.95,Medium,120.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,400.00,8.00,3.00,Increase budget
Electrolyte Drink Mix,0.25,0.80,Medium,110.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,366.67,7.33,3.00,Increase budget
BCAA Powder,0.28,0.90,Medium,110.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,366.67,7.33,3.00,Increase budget
Collagen Peptides 1lb,0.30,0.95,Medium,110.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,366.67,7.33,3.00,Increase budget
Intra-Workout Carbs,0.27,0.90,Medium,110.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,366.67,7.33,3.00,Increase budget
Joint Support Formula,0.26,0.90,Medium,105.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,350.00,7.00,3.00,Increase budget
Creatine Monohydrate 300g,0.25,0.85,Medium,100.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,333.33,6.67,3.00,Increase budget
Isotonic Sports Drink,0.26,0.85,Medium,100.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,333.33,6.67,3.00,Increase budget
L-Carnitine 3000mg,0.25,0.85,Medium,95.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.30,316.67,6.33,3.00,Increase budget
Greens Powder,0.32,1.05,Medium,125.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.32,390.62,7.81,2.81,Monitor
Casein Protein 2lb,0.32,0.95,Medium,120.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.32,375.00,7.50,2.81,Monitor
Plant Protein + Greens,0.33,1.00,Medium,120.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.33,363.64,7.27,2.73,Monitor
Keto Protein Powder,0.34,1.00,Medium,120.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.34,352.94,7.06,2.65,Monitor
Vegan Protein Powder 1lb,0.35,1.10,Medium,120.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.35,342.86,6.86,2.57,Monitor
Whey Concentrate 2lb,0.35,1.00,Medium,130.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.35,371.43,7.43,2.57,Monitor
Lactose-Free Whey,0.36,1.05,Medium,125.00,0.02,45.00,3.00,15.00,0.30,1.00,0.30,0.36,347.22,6.94,2.50,Monitor
Pre-Workout Powder,0.35,1.05,High,140.00,0.02,45.00,3.00,15.00,0.30,1.30,0.39,0.39,358.97,7.18,2.31,Monitor
Vegan Protein Powder 2lb,0.40,1.20,High,160.00,0.02,45.00,3.00,15.00,0.30,1.30,0.39,0.40,400.00,8.00,2.25,Monitor
RTD Protein Shake 12-pack,0.40,1.10,High,150.00,0.02,45.00,3.00,15.00,0.30,1.30,0.39,0.40,375.00,7.50,2.25,Monitor
Mass Gainer 6lb,0.42,1.25,High,180.00,0.02,45.00,3.00,15.00,0.30,1.30,0.39,0.42,428.57,8.57,2.14,Monitor
Vegan Protein Powder 5lb,0.45,1.30,High,190.00,0.02,45.00,3.00,15.00,0.30,1.30,0.39,0.45,422.22,8.44,2.00,Monitor
Whey Isolate 2lb,0.48,1.40,High,170.00,0.02,45.00,3.00,15.00,0.30,1.30,0.39,0.48,354.17,7.08,1.88,Monitor
